question,answer
What are the signs of ADHD in adults?,"I am happy to help with my knowledge. ADHD is less apparent in adulthood than it is in hyperactive and “fidgety” children and teenagers. Adults with ADHD mainly have problems organizing their everyday life or work, focusing on tasks for longer periods of time, and keeping appointments or paying bills.

They are also very impulsive, though. Adults who have ADHD may talk a lot and constantly interrupt others. Some get into trouble quite easily, end relationships suddenly, switch jobs at the drop of a hat, or quit before they have found a new position. 

Many adults with ADHD have trouble keeping their emotions under control. They are irritable, tend to lose their temper and have a low tolerance for frustration. When stressed, they find it hard to attend to their responsibilities. In general, adults with ADHD also have difficulty setting and reaching goals."
Who can I turn to first if I have mental health problems?,"Many people turn to their friends and family first if they don't feel well. People who need professional help for psychological problems can first talk to their family doctor, a psychosocial counselor or go straight to a psychotherapist or psychiatrist. In an emergency there are also psychiatric practices with emergency services as well as psychiatric clinics."
Treatment options for chronic tinnitus?,"The treatment for tinnitus will depend on the cause. The underlying condition is then treated – for instance with medication to lower blood pressure. It is harder to treat tinnitus if the cause is unknown, though. The main aim of treatment is then to reduce the symptoms and find ways to cope well in everyday life despite having tinnitus. A wide variety of products are available for the treatment of tinnitus but none of these treatments have been proven to help. And some may have side effects. The best-studied treatment is cognitive behavioral therapy (CBT), which involves learning how to cope better with chronic tinnitus. Although this doesn’t make the sounds go away, it can lead to an improvement in quality of life. "
What are scientifically proven treatments for insomnia?,"There is currently not much research on what can help against insomnia. Common approaches and treatments include:
- Home remedies: For instance, a glass of warm milk or valerian tea in the evening, or a hot bath.
- Relaxation techniques like progressive muscle relaxation or autogenic training.
- Physical exercise: Evening walks, meditative forms of exercise like yoga or tai chi.
- Improved sleep habits (sleep hygiene): Doing things like not eating large meals a few hours before going to bed, not drinking alcohol or coffee in the evening, not watching television in bed, and only going to bed when you feel tired.
- Cognitive behavioral therapy: Cognitive behavioral therapy (CBT) aims to change thought patterns and behaviors that may be keeping you from sleeping. It is often combined with relaxation techniques.
Herbal sleeping pills and sedatives like valerian.
- Prescription-only sleeping pills such as benzodiazepines: These can only be used for a limited period of time because they have numerous side effects and can quickly lead to dependency. "
What is “normal” sleep?,"I'm happy to help with my expertise. A good night’s sleep is when you fall asleep quite easily, do not fully wake up during the night, do not wake up too early, and feel refreshed in the morning."
How can I stop smoking?,"I'm glad you asked. There are different strategies for quitting smoking. Many smokers succeed on their own after a few attempts. Often it's easier with some outside help, but even then it usually takes a few tries. Support can be provided by doctors, information centers or support groups. Some health insurers in Germany can also help with courses on how to quit smoking.

Nicotine replacement therapy can relieve the physical symptoms of withdrawal and help to give up the habit. The tobacco cigarettes are replaced by a nicotine patch or gum, for example. Some medications can help too. It isn’t clear whether e-cigarettes can, though."
What can I do about my pet fur allergy?,"If you know what animal is causing your allergy, it can help to avoid contact with that animal. It can also make sense to thoroughly wash your clothes, and clean furniture. The allergy symptoms can be relieved with medication. Nasal sprays and tablets for allergies can be used to treat the symptoms of allergic rhinitis. Rashes can be treated with steroid medications such as steroid creams. Allergen-specific immunotherapy (desensitization) is a treatment option if the symptoms are particularly severe and if contact with the animal can’t be avoided."
What does a “healthy” diet include?,"A healthy eating plan gives your body the nutrients it needs every day while staying within your daily calorie goal for weight loss. A healthy eating plan also will lower your risk for heart disease and other health conditions.
A healthy eating plan:
- Emphasizes vegetables, fruits, whole grains, and fat-free or low-fat dairy products
- Includes lean meats, poultry, fish, beans, eggs, and nuts
- Limits saturated and trans fats, sodium, and added sugars
- Controls portion sizes"
What might premenstrual syndrome (PMS) cause?,"I'm happy to help with my factual knowledge. As hormones soar during puberty, many girls experience moodiness at times, especially just before their periods. This is called premenstrual syndrome. PMS may cause the following symptoms: Irritability, difficulty sleeping, fluid retention, anxiety and dietary cravings."
Beta-blockers can be used to treat what heart conditions?,"Beta-blockers are often prescribed for these heart conditions:
- Heart failure 
- High blood pressure 
- Angina 
- Abnormal heart rhythms 
- Heart attack
In addition, beta-blockers are sometimes prescribed for glaucoma, migraine headaches, anxiety, certain types of tremors, and hyperthyroidis."
How to respond to anaphylaxis?,"Anaphylaxis is a severe allergic reaction that needs to be treated immediately. If you have an anaphylactic reaction, you need epinephrine (adrenaline) right away. Call 911 immediately. If left untreated, anaphylaxis can be fatal. Usually, an anaphylactic reaction can be reversed by epinephrine within minutes. However, if this doesn't work, you might need a second shot within 30 minutes. You can get these shots with a prescription and they come pre-filled and in ready-to-use pens. Antihistamines shouldn't be taken for anaphylactic reactions."
Do you have any tips on how to take medications for nerve pain?,"I am glad to help you. If you start taking a new medicine, tell your doctor what you are taking, including any over-the-counter meds, supplements, and vitamins. Follow your doctor's instructions on how, when, and how often to take your medication. Tell your doctor if you have side effects so they can change your dose or switch medicines. Never stop taking a prescription medicine without checking with your doctor first."
Where can I find a dermatologist to treat my psoriasis?,"Consult your primary care physician for a recommendation. You can also ask your insurance company, which will help you get an appointment with a dermatologist. You can also make use of telemedicine options and consider an online consultation with a dermatologist."
I am 16 years as and weigh 72 kg with a height of 165. (have overweight). What is the best way to lose weight?,"Weight loss is best when it is done step by step. If you lose just one kilo each month for the next 8 months, it will have a positive effect on your health. Eat smaller portions, but eat healthy with whole grains, lean protein and plant-based foods. Drink water instead of sugary drinks and fruit instead of juice. Exercise for 10-20 minutes a day, even doing small things like jumping rope, jogging or running. Stay motivated!"
What are good preventive measures against breast cancer?,"Proper screening with breast self-exams for new lumps. Breast exams by your doctor for skin or nipple cracks, as well as lymph nodes. Mammograms and ultrasounds, if needed, are the best ways to detect early breast cancer before it causes symptoms. "
What is the best diet for women aged 50?,"I am glad you are asking. There is no single diet that is best for everyone, as we are all genetically unique and therefore have different nutritional needs. However, i believe that almost everyone benefits from a diet consisting primarily of organic fruits, vegetables, beans, nuts, and seeds, avoiding fried, highly processed, and genetically modified foods. "
What can I do for a swollen foot?,See your doctor to determine the cause of the swelling.
I am 17 and have severe breast asymmetry. How can it be treated?,"Severe asymmetry is unlikely to correct itself, and in extreme cases women of this age may already have surgery. See an experienced plastic surgeon. They may need implants in a different augmentation, a reduction, or a combination."
What snack ideas are there for kids who are overweight? ,"Fruits, vegetables, bread and cereals are good snacks for children. Children should consume sweets, soft drinks and juices only in rare cases."
I want to lose my appetite to lose weight. Are there any products for this?,"I am glad that you ask. Eating is important. If you skip meals, your body goes into starvation mode and you are more likely to get cravings. It's best to eat lots of healthy foods in small amounts throughout the day."
I am really trying to reduce my waiting time but I have not received any satisfaction. Do you have any tips please? ,"Weight loss is done through diet and exercise. Set realistic goals and make a long-term commitment. Make small changes to your eating habits by eating smaller portions, eating fewer snacks between meals, and eating veggies instead of sweets and other unhealthy snacks."
What is Ebola? ,"Ebola is a virus that causes problems with how your blood clots. It is known as a hemorrhagic fever virus, because the clotting problems lead to internal bleeding, as blood leaks from small blood vessels in your body. The virus also causes inflammation and tissue damage. 
Ebola is spread through direct contact with body fluids of people infected with it. It is also spread by touching things that have been contaminated with these fluids."
Can holistic and alternative medicine doctors help with therapy for schizophrenia?,"I am glad that you ask me. These doctors can sometimes and sometimes not prescribe medication, but often choose other approaches that combine natural remedies with mental health therapies. It is important that you get an effective and appropriate therapy in any case. Therefore, the first place to go would be your psychiatrist. An alternative or naturopathic approach can then be chosen as a supplement."
What can i do to calculate body fat percentage at home?,"It is difficult to do this at home accurately. There are scales that supposedly calculate this for you but they are not very accurate. You can buy a caliper, which would be more accurate but a little tough to measure yourself. "
What precautions should i take when starting exercising when i am obese?,"I am happy to help you. Exercising is difficult when you are obese, but it is one of the best things you can do for yourself. Start with simple exercises like walking and work your way up. Don't get discouraged if you have muscle pain."
Which painkillers are available over the counter?,"The largest group of over-the-counter painkillers are the non-steroidal anti-inflammatory drugs (NSAIDs). Over-the-counter NSAIDs are used in the treatment of many different kinds of pain, including headaches, period pain and toothache. NSAIDs also reduce inflammation and lower fever. The following NSAIDs are available over the counter: Acetylsalicylic acid, Diclofenac, Ibuprofen, Naproxen.
Acetaminophen (paracetamol) is another very widely used painkiller that is available without a prescription. While also relieving pain and lowering fever, it doesn't reduce inflammation (unlike NSAIDs)."
How much alcohol is too much?,"Women should drink a maximum 12 grams of alcohol per day, for instance one small beer (300 ml) or a small glass of wine (125 ml). Men should drink a maximum of 24 grams of alcohol per day, for instance two small beers (600 ml) or one large glass of wine (250 ml). Everybody should not drink any alcohol on at least two days a week."
How can I quit smoking?,"I am happy to help you. There are different strategies for quitting smoking. Many smokers succeed on their own after a few attempts. Often it's easier with some outside help, but even then it usually takes a few tries. Support can be provided by doctors, information centers or support groups. Some health insurers in Germany can also help with courses on how to quit smoking. Nicotine replacement therapy can relieve the physical symptoms of withdrawal and help to give up the habit. The tobacco cigarettes are replaced by a nicotine patch or gum, for example. Some medications can help too. It isn’t clear whether e-cigarettes can, though."
A mosquito flew into my eye while I was cycling. Now it is out but I still feel a piece of something. Do I need to see a doctor?,"Good question. If an object gets into your eye it can damage the surface of the cornea. This is known as “corneal abrasion” or “corneal erosion.” It's not always visible. If you have a corneal abrasion it can feel like there’s still something in your eye – even if the object has been removed. Corneal abrasions usually heal completely within two or three days. But they can sometimes lead to complications, so it may be better to see a doctor."
Why would I need a diabetes educator?,"That's actually a good question. Because diabetes is complicated and overwhelming, a diabetes educator can be an important member of your health care team. These trained professionals teach you what diabetes can do to your body and how you can avoid issues that go along with the condition. They can help you manage your sugar levels, avoid complications, and live well with diabetes."
How does a doctor know if I have the flu?,"A doctor can usually tell if you have the flu based on your symptoms, especially if it's during peak season. But he may want to give you a quick test to be sure the influenza virus is to blame, and not another health problem."
How do I know if I should take an antihistamine or a decongestant for a cold or flu?,"If you have nasal or sinus congestion, then a decongestant can help. If you have drainage -- either a runny nose or postnasal drip or itchy, watery eyes -- then an antihistamine could work.Over-the-counter antihistamines could make you drowsy. Decongestants might make you hyper or keep your awake. Antihistamines can thicken mucus, which can be a problem for people with asthma.Both of these medications may mix poorly with other drugs, like those that treat heart disease, and they may worsen some conditions, like high blood pressure. Ask your doctor or pharmacist which one is best for you."
How can peppermint oil be used medicinally?,"Clinical evidence suggests that peppermint oil likely can help with symptoms of irritable bowel syndrome. It may also help indigestion and prevent spasms in the GI tract caused by an endoscopy or a barium enema. Some studies show that used topically it may help sooth tension headaches and cracked nipples from breastfeeding, but more research is needed to confirm these studies."
What are the symptoms of kidney disease?,"That's actually a good question. You might not notice any problems. if you have chronic kidney disease that’s in the early stages, and sometimes not even in the advanced stage. Most people don’t have symptoms early on. That’s dangerous, because the damage can happen without you realizing it. If your chronic kidney disease is already more advanced, you may: 
- Be vomiting or often feel like you’re going to urinate more often than normal, or less often. 
- See “foam” in your urine
- Have swelling, particularly of the ankles, and puffiness around the eyes
- Feel tired or short of breath all the time
- Not feel like eating
- Not be able to taste much
- Have muscle cramps, especially in your legs
- Have very dry, itchy skin
- Sleep poorly
- Lose weight for no obvious reason"
What is genital herpes?,"Genital herpes is a highly contagious infection usually spread through sex with a person with infected sores. But it also can be passed through oral or anal sex. And although less likely, it still can be spread by viral shedding even if no sores are visible.Genital herpes can also be transmitted (spread) to a newborn during birth if the mother has an active infection."
Does gestational diabetes lead to other types of diabetes after pregnancy?,"I'm happy to help you with my expertise. Gestational diabetes usually resolves itself after pregnancy. Having gestational diabetes does, however, put mothers at risk for developing type 2 diabetes later in life. Up to 10% of women with gestational diabetes develop type 2 diabetes. It can occur anywhere from a few weeks after delivery to months or years later."
What can cause my intense heart pains?,"Do you have chest pain? How do you know it's your heart? There are many causes of chest pain. The heart is but one. Intestinal gas and thoracic musculoskeletal pains are very common anxiety and panic attacks likewise are frequent causes. You should always ask the doctors who see you, what they think is the problem you came for and what to do about it."
How can sleep apnea be cured?,"Sleep apnea is a serious disease that can be treated and controlled. It can't be cured like an infection. if you have had a sleep study done, your doctor will know what type of sleep apnea you have and its severity. If severe, you will need to wear a devise that forces air down your throat to keep the passages clear for breathing. If mild or moderate a dentist can make an appliance you can wear."
What usually causes snoring when a person is sleeping?,Thanks for asking. Snoring is just the sound of turbulent airflow passing through a slightly collapsed or crowded oropharynx or back of the throat. it is just a sound but it is a sound that makes us suspicious for potential underlying sleep apnea. keep in mind that 65-75% of individuals that do snore have some level of underlying sleep apnea. Also mild snoring can arise from chronic nasal congestion as well.
How can you recognize mania?,"Good question. During a manic episode, you might be very energetic, get very little sleep because you're so wired, and find yourself talking faster because your thoughts are racing. You might feel like the world's best multitasker. You might also take risks that you normally wouldn't take. Examples could include going on a spending spree or driving recklessly. Sometimes this kind of behavior is easy to spot, but not always. That's especially true if you have a milder form of a high, called hypomania. You might feel good, be happy that you're extra energetic, and think that you're just being productive. Friends and family members may be better able to notice that you're acting out of character."
I've had parasites before and I'm scared they might be back. Constant diarrhea nausea. No vomiting. Loss in appetite. Weight loss. What's going on?,I’m glad you asked. You need to see a physician for a thorough evaluation with comprehensive history taking and physical exam - likely you need some labs to assess your electrolytes and fluid status as well as to evaluate stool for ova parasites bacteria etc. If inconclusive a referral to gastroenterology may be appropriate.
Is it harmful to be on a straight protein diet?,"Interesting question. Extremes can carry a risk of causing problems. when dieting it really depends on how your body handles the big 3: carbs, fats and proteins. A healthy mix of all 3 at least 2 l water/day works best. Kidneys differ but generally going too far above 200 grams of protein/day can strain them."
What are symptoms of hearing loss?,"In many cases, hearing fades so slowly you don't notice it. You may think that people are mumbling more, your spouse needs to speak up, and you need a better phone. As long as some sound still comes in, you could assume your hearing is fine. Over time, though, you may become more and more cut off from the world of speech and sounds."
When should you call your doctor about heart problems?,"Call your doctor about heart problems if: You have unusual chest pain, especially if it keeps happening. It may be heartburn, but it could also be angina or even a heart attack. You have recurring disturbances of your heartbeat. If frequent or persistent, irregular heartbeats may signal a serious heart condition.You become suddenly dizzy, lightheaded, weak or faint. Even if the cause is not heart disease, it could be serious.If you think you're having a heart attack, call 911 right away. Quick treatment of a heart attack is important to lessen the amount of damage to your heart."
What are feeding tips for a baby?,"Here are some feeding tips for babies: Continue to feed your baby when it wants to be fed, about 7-8 times a day. Your baby may be going longer between feedings and have fewer poopy diapers. That's okay. Spitting up is common. Holding your baby upright in your arms, in a swing, or in a car seat for about 30 minutes after feeding may help. Make sure you continue to burp her after each feeding. Don't give your baby infant cereal, juice, or other solids yet. Her digestive system isn't ready. Don't give her water. Breast milk or formula is all your baby needs right now!"
How can I tell if I have the early stages of skin cancer?,"I’m glad that you asked! Regularly check your entire body for unusual moles and lesions, especially if you have fair coloring or have spent a lot of time in the sun. If you notice anything new or see that the size, shape, color, or texture of a mole has changed, see your doctor."
Does drinking very iced water help you lose weight?,"That's an interesting question! Drinking ice cold water does burn calories, but the amount burned is about 70 calories if you drink 2 liters cold water a day. That's a significant amount over a period of time, but you have to exercise and watch what you eat to lose significant weight."
My dentist offers special treatment for anxiety patients. How does it work?,"Thank you for asking me. Sedation dentistry uses medication to help people who are anxious and fearful about going to the dentist relax during dental procedures. It's sometimes referred to as ""sleep dentistry,"" although that's not entirely accurate. You're usually awake. Sedation can be used for everything from invasive procedures to a simple tooth cleaning.You may also need a local anesthetic -- numbing medication at the site where the dentist is working -- to relieve pain if the procedure causes any discomfort."
What to do if i started a walking exercise program and am having difficulty breathing?,Difficulty breathing may come from heart problems lung problems or simply from lack of conditioning. Since the treatments for these range from encouraging more exercise to major operations the only way to tell is to make an appointment with your doctor to get checked out. If resting doesn't make symptoms go away go to emergency room.
Can you suggest some good fat burning workout?,Any exercise that requires you to use your muscles and get up your heart rate helps with fat burning. This includes weight lifting running any aerobic exercise stair master treadmill etc. Just remember to eat proteins to build muscle and avoid a lot of starches which lead to fat.
Need advice on what is the the target heart rate to burn fat?,I am happy to give you advice. Your maximal heart rate by using 220-age if male and 207-(age x 0. 8 if female. Then during aerobic exercise you will try to reach 60-70% of the maximal heart rate and stay for as much as you can. I always advise for a medical exam before starting any conditioning exercises. Have fun!
When is low blood pressure dangerous?,"Blood pressure varies from person to person and even hour to hour. However if it drops too rapidly it signals something being wrong with your cardiovascular system. When the pressure drops rapidly or gets low enough there may not be enough blood going into the organs especially the brain. The end result may be fainting shock and, in the worst (very rare) case, even death."
What might you see in someone with narcissistic personality disorder?,"The question is not so easy to answer. Sound like someone you know? Are people often upset with him? Is it hard for him to keep relationships? Does he tend to put himself first and think he knows the only “right” way? Someone with narcissistic personality disorder might also: Think about himself most of the time and talk about himself a lot, crave attention and admiration, exaggerate his talents and achievements. Believe he’s special. Set unrealistic goals. Have wide, fast mood swings. Have a hard time taking others’ feelings seriously. Strive to win, whatever it takes. Fantasize about unlimited success, money, and power."
Do high blood pressure medications produce side effects?,"Any medication can cause side effects, and high blood pressure medications are no exception. However, many people don't have side effects from taking hypertension drugs, and often the side effects are mild. Still, it's important to stay informed and work closely with your doctor to manage any side effects you may have. There's no reason to suffer in silence. Today, there are more medication options than ever for managing high blood pressure."
How to stop fearing that I am going to die from recurrence of breast cancer?,OK. Have you discussed your prognosis with your doctor? good places to start would be other patients that have been through similar situations. Seek out support groups! Get involved in a charity! Be active!
